Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
3660.341822146799,CA-2014-115133,9/6/2016,3/25/2014,First Class,MC-17425,Clay Rozendal,Home Office,United States,Hoover,North Carolina,48172.35484941907,Central,OFF-ST-10002790,Furniture,Accessories,Nortel Meridian M3904 Professional Digital phone,1358.8201428411626,7.132359385874395,0.05552341765361514,-525.3383492169539
6827.222228734155,CA-2016-144645,7/11/2015,4/2/2017,Standard Class,SM-20005,Pete Armstrong,Consumer,United States,Riverside,South Dakota,594.2661831381847,South,OFF-AR-10004752,Furniture,Machines,Xerox 188,284.7429821156463,2.7976517968746615,0.5401197673442735,65.13718766778045
1340.8896182880208,US-2015-128090,3/4/2016,12/30/2014,Same Day,EM-13960,Ted Butterfield,Home Office,United States,Tamarac,Missouri,41636.27101019811,East,TEC-AC-10003095,Technology,Envelopes,"Global Stack Chair with Arms, Black",218.04132837048974,6.987394862206287,-0.006618512409090477,56.413622847772494
6605.051704115406,US-2015-137533,6/21/2014,4/26/2014,First Class,AT-10435,Rick Duston,Consumer,United States,Clinton,Maine,59841.962999651456,East,OFF-BI-10004781,Furniture,Copiers,Multimedia Mailers,-632.5769826463616,-0.35853880609636235,0.195421106337007,12.107189151062506
5656.338261894309,CA-2017-107125,9/6/2016,9/28/2016,Standard Class,MG-18205,Anna Chung,Consumer,United States,Pembroke Pines,Nebraska,45130.42358761201,Central,OFF-FA-10004968,Furniture,Storage,"Seth Thomas 14"" Day/Date Wall Clock",646.1851903876684,6.185231062086892,0.14510161983109232,-216.66042347952984
3639.2082316307,CA-2015-145821,6/30/2016,12/17/2014,First Class,VP-21730,Quincy Jones,Consumer,United States,Evanston,Maine,27171.310793378143,West,OFF-AR-10001473,Office Supplies,Bookcases,"File Shuttle II and Handi-File, Black",-261.1587452606653,2.6853303504363932,0.05945946947053221,228.35693610390948
6323.780069325806,CA-2016-132017,9/16/2015,4/19/2016,Same Day,AR-10345,Joel Eaton,Consumer,United States,Harlingen,New Mexico,22307.57790848626,East,OFF-BI-10004995,Furniture,Bookcases,Cisco 8x8 Inc. 6753i IP Business Phone System,-95.88904804201547,0.637387355042617,0.43138173981383765,183.83189211261347
239.96988865359708,CA-2015-117898,5/9/2014,7/6/2015,Same Day,DB-13555,Lena Hernandez,Consumer,United States,Sterling Heights,Wyoming,58322.02587306002,West,OFF-PA-10003625,Technology,Accessories,Avery 499,-471.65976384855657,3.6935708472829445,0.23537617170278063,-174.5733482913743
415.062788812259,US-2017-163300,4/26/2016,4/24/2014,Standard Class,JH-15430,Ann Chong,Corporate,United States,Chandler,Maine,52781.540679779355,Central,OFF-PA-10004100,Office Supplies,Appliances,Adjustable Personal File Tote,-527.3983741058776,3.6710349046884585,0.29036988807914443,-73.11628127128222
-895.2812276906498,CA-2015-129525,10/19/2014,8/14/2014,First Class,JO-15280,Christina VanderZanden,Corporate,United States,San Bernardino,Ohio,79409.79510280439,South,OFF-LA-10004008,Technology,Tables,JBL Micro Wireless Portable Bluetooth Speaker,-252.74138602895323,4.713609866719175,0.09705333984115501,300.31999650125863
6456.023088117451,CA-2016-104633,4/1/2016,4/8/2016,Standard Class,RA-19915,Victoria Wilson,Consumer,United States,Danbury,Illinois,30935.42559007415,West,OFF-AR-10000538,Office Supplies,Phones,Fellowes Binding Cases,187.30236785557946,-0.08239696610249414,-0.15032508179025675,-63.24218557766044
-105.6873330169019,US-2017-154851,5/22/2014,9/15/2017,Standard Class,KL-16555,Ivan Liston,Corporate,United States,Lindenhurst,Kentucky,67254.97218601595,West,OFF-BI-10001982,Furniture,Storage,"Contract Clock, 14"", Brown",-222.47376187431803,2.5956628968947824,-0.07692988937929363,-70.9375163269807
7534.418916708901,CA-2017-134635,8/16/2014,4/25/2017,Standard Class,KE-16420,Adrian Barton,Home Office,United States,Cary,Texas,47526.60061998348,South,TEC-MA-10003626,Office Supplies,Supplies,Xerox 1990,-909.8269881493995,3.6426383980018953,0.5256701783637447,450.4212465629002
